,start time,lock time,close time,epoch,Locked price,Close price,Change,Total BNB,Up BNB,Down BNB,Win/Lose
198,1651331695,1651331995,1651332295,3529,38345.42,38318.45,-26.97,22.0754,11.2237,10.8518,0
199,1651332001,1651332301,1651332601,3530,38318.45,38467.55,149.1,20.9107,10.4553,10.4553,1
200,1651332307,1651332607,1651332907,3531,38467.55,38476.51,8.96,21.4937,10.7161,10.7777,1
201,1651332613,1651332913,1651333213,3532,38476.51,38431.64,-44.87,20.9509,10.4755,10.4755,0
202,1651332921,1651333221,1651333521,3533,38431.64,38461.18,29.54,20.7916,10.3958,10.3958,1
203,1651333230,1651333530,1651333830,3534,38461.18,38445.14,-16.04,21.4538,10.7269,10.7269,0
204,1651333537,1651333837,1651334137,3535,38445.14,38529.96,84.82,20.7205,10.3603,10.3603,1
205,1651333843,1651334143,1651334443,3536,38529.96,38484.29,-45.67,21.1744,10.5872,10.5872,0
206,1651334149,1651334449,1651334749,3537,38484.29,38551.63,67.34,20.8301,10.465,10.365,1
207,1651334458,1651334758,1651335058,3538,38551.63,38561.39,9.76,20.973,10.4615,10.5115,1
208,1651334765,1651335065,1651335365,3539,38561.39,38542.15,-19.24,21.2693,10.6347,10.6347,0
209,1651335070,1651335370,1651335670,3540,38542.15,38519.06,-23.09,21.38,10.7055,10.6745,0
210,1651335377,1651335677,1651335977,3541,38519.06,38592.99,73.93,21.0429,10.5214,10.5214,1
211,1651335681,1651335981,1651336281,3542,38592.99,38603.87,10.88,21.465,10.7268,10.7382,1
212,1651336000,1651336300,1651336600,3543,38603.87,38590.43,-13.44,21.2823,10.6,10.6823,0
213,1651336306,1651336606,1651336906,3544,38590.43,38567.11,-23.32,20.7733,10.4185,10.3548,0
214,1651336611,1651336911,1651337211,3545,38567.11,38532.03,-35.08,21.1436,10.5759,10.5677,0
215,1651336917,1651337217,1651337517,3546,38532.03,38524.27,-7.76,20.6886,10.3443,10.3443,0
216,1651337223,1651337523,1651337823,3547,38524.27,38465.92,-58.35,21.1981,10.5991,10.5991,0
217,1651337529,1651337829,1651338129,3548,38465.92,38391.49,-74.43,21.0479,10.5276,10.5203,0
218,1651337835,1651338135,1651338435,3549,38391.49,38359.03,-32.46,20.9248,10.4565,10.4683,0
219,1651338141,1651338441,1651338741,3550,38359.03,38348.54,-10.49,21.4562,10.7281,10.7281,0
220,1651338447,1651338747,1651339047,3551,38348.54,38299.99,-48.55,21.228,10.6086,10.6194,0
221,1651338753,1651339053,1651339353,3552,38299.99,38311.29,11.3,21.2462,10.5381,10.7081,1
222,1651339059,1651339359,1651339659,3553,38311.29,38300.24,-11.05,21.532,10.8335,10.6985,0
223,1651339364,1651339664,1651339964,3554,38300.24,38287.11,-13.13,21.3957,10.6978,10.6978,0
224,1651339669,1651339969,1651340269,3555,38287.11,38316.61,29.5,21.4495,10.7107,10.7387,1
225,1651339978,1651340278,1651340578,3556,38316.61,38299.24,-17.37,20.8256,10.4128,10.4128,0
226,1651340284,1651340584,1651340884,3557,38299.24,38301.95,2.71,21.1932,10.5966,10.5966,1
227,1651340590,1651340890,1651341190,3558,38301.95,38249.92,-52.03,20.8313,10.3907,10.4407,0
228,1651340897,1651341197,1651341497,3559,38249.92,38269.84,19.92,21.4794,10.7526,10.7268,1
229,1651341203,1651341503,1651341803,3560,38269.84,38325.17,55.33,21.0052,10.5151,10.4901,1
230,1651341509,1651341809,1651342109,3561,38325.17,38306.81,-18.36,21.0696,10.5474,10.5222,0
231,1651341814,1651342114,1651342414,3562,38306.81,38289.91,-16.9,21.4216,10.7233,10.6983,0
232,1651342120,1651342420,1651342720,3563,38289.91,38267.17,-22.74,20.9308,10.4714,10.4593,0
233,1651342426,1651342726,1651343026,3564,38267.17,38256.27,-10.9,21.2647,10.6567,10.6081,0
234,1651342732,1651343032,1651343332,3565,38256.27,38270.0,13.73,21.2373,10.6452,10.5921,1
235,1651343038,1651343338,1651343638,3566,38270.0,38242.71,-27.29,21.0232,10.5116,10.5116,0
236,1651343344,1651343644,1651343944,3567,38242.71,38256.35,13.64,21.3535,10.6268,10.7268,1
237,1651343650,1651343950,1651344250,3568,38256.35,38276.33,19.98,21.456,10.728,10.728,1
238,1651343956,1651344256,1651344556,3569,38276.33,38233.97,-42.36,20.9781,10.4766,10.5016,0
239,1651344262,1651344562,1651344862,3570,38233.97,38277.86,43.89,21.5452,10.9151,10.6301,1
240,1651344568,1651344868,1651345168,3571,38277.86,38340.01,62.15,21.5262,10.8256,10.7006,1
241,1651344874,1651345174,1651345474,3572,38340.01,38357.91,17.9,20.7614,10.3938,10.3676,1
242,1651345180,1651345480,1651345780,3573,38357.91,38369.46,11.55,21.6051,10.7683,10.8369,1
243,1651345486,1651345786,1651346086,3574,38369.46,38353.09,-16.37,20.8676,10.3897,10.4779,0
244,1651345792,1651346092,1651346392,3575,38353.09,38363.38,10.29,21.4068,10.7686,10.6382,1
245,1651346098,1651346398,1651346698,3576,38363.38,38311.77,-51.61,21.2206,10.532,10.6886,0
246,1651346404,1651346704,1651347004,3577,38311.77,38348.62,36.85,20.8417,10.4333,10.4084,1
247,1651346710,1651347010,1651347310,3578,38348.62,38330.56,-18.06,20.8192,10.4276,10.3916,0
248,1651347016,1651347316,1651347616,3579,38330.56,38333.51,2.95,21.0174,10.4837,10.5337,1
249,1651347322,1651347622,1651347922,3580,38333.51,38325.01,-8.5,21.3552,10.6381,10.7171,0
250,1651347628,1651347928,1651348228,3581,38325.01,38402.88,77.87,21.5495,10.6847,10.8647,1
251,1651347934,1651348234,1651348534,3582,38402.88,38470.01,67.13,20.9462,10.4731,10.4731,1
252,1651348240,1651348540,1651348840,3583,38470.01,38433.01,-37.0,21.5512,10.6756,10.8756,0
253,1651348547,1651348847,1651349147,3584,38433.01,38433.8,0.79,21.1123,10.5561,10.5561,1
254,1651348853,1651349153,1651349453,3585,38433.8,38414.36,-19.44,21.3819,10.6909,10.6909,0
255,1651349159,1651349459,1651349759,3586,38414.36,38415.85,1.49,21.184,10.6523,10.5317,1
256,1651349465,1651349765,1651350065,3587,38415.85,38404.7,-11.15,21.3936,10.6468,10.7468,0
257,1651349771,1651350071,1651350371,3588,38404.7,38375.52,-29.18,21.5173,10.7679,10.7495,0
258,1651350077,1651350377,1651350677,3589,38375.52,38352.17,-23.35,21.431,10.7228,10.7082,0
259,1651350383,1651350683,1651350983,3590,38352.17,38334.73,-17.44,21.2653,10.6194,10.6459,0
260,1651350689,1651350989,1651351289,3591,38334.73,38338.19,3.46,20.7302,10.3651,10.3651,1
261,1651350995,1651351295,1651351595,3592,38338.19,38340.36,2.17,21.2341,10.5921,10.6421,1
262,1651351301,1651351601,1651351901,3593,38340.36,38347.38,7.02,21.4991,10.6995,10.7995,1
263,1651351610,1651351910,1651352210,3594,38347.38,38312.69,-34.69,20.8677,10.4489,10.4188,0
264,1651351916,1651352216,1651352516,3595,38312.69,38319.96,7.27,21.0892,10.5383,10.5509,1
265,1651352222,1651352522,1651352822,3596,38319.96,38295.85,-24.11,21.1812,10.5906,10.5906,0
266,1651352528,1651352828,1651353128,3597,38295.85,38268.28,-27.57,21.7638,10.8302,10.9336,0
267,1651352834,1651353134,1651353434,3598,38268.28,38278.93,10.65,21.1277,10.5927,10.535,1
268,1651353140,1651353440,1651353740,3599,38278.93,38309.86,30.93,21.5114,10.8057,10.7057,1
269,1651353446,1651353746,1651354046,3600,38309.86,38308.23,-1.63,21.1,10.5551,10.545,0
270,1651353752,1651354052,1651354352,3601,38308.23,38320.64,12.41,21.1631,10.7592,10.4039,1
